m/z	I	
728.8643	2250	
728.9018	1886	
729.0335	240	
729.1121	3027	
729.3036	501	
729.3652	1977	
729.5026	311	
729.6159	1061	
729.7024	578	
729.7585	215	
729.8664	558	
729.9032	919	
730.0486	554	
730.1021	710	
730.2645	142	
730.3015	389	
730.5031	300	
730.7034	166	
730.8180	103	
730.9030	108	
730.9620	195	
731.0496	121	
731.1006	638	
731.2476	267	
731.2982	747	
731.3911	198	
731.4995	620	
731.6993	427	
731.9024	305	
732.0984	241	
732.3016	278	
732.5016	227	
732.7036	118	
732.9035	122	
733.6008	113	
734.4942	138	
735.1151	253	
735.8598	181	
736.1128	1073	
736.3647	175	
736.4472	822	
736.5208	145	
736.6118	127	
736.6675	114	
736.7812	425	
737.1033	473	
737.3022	306	
737.5023	202	
737.9013	111	
738.1010	152	
738.6629	116	
738.8058	103	
738.9499	165	
738.9744	143	
739.0517	327	
739.0947	284	
739.5383	198	
739.6805	129	
739.8258	119	
740.0555	115	
740.5868	235	
740.6803	176	
740.8234	291	
740.9649	289	
741.1082	300	
741.2510	121	
741.3509	444	
741.3942	236	
741.5258	153	
741.6023	554	
741.6710	106	
741.7292	107	
741.8119	147	
741.8540	341	
742.1093	1045	
742.2385	135	
742.2931	1618	
742.3524	124	
742.4511	897	
742.4925	1371	
742.6944	900	
742.7839	519	
742.8943	508	
743.0080	175	
743.1019	270	
743.3477	115	
743.4522	145	
743.5990	132	
743.6942	126	
744.0093	109	
744.1085	407	
744.2509	360	
744.3533	1524	
744.3934	455	
744.5374	225	
744.6032	1952	
744.6819	247	
744.7739	138	
744.8537	1302	
744.9618	124	
745.0614	478	
745.1054	821	
745.3543	380	
745.6042	124	
745.6965	379	
745.8547	235	
745.8959	515	
746.0443	894	
746.0985	685	
746.2953	351	
746.3533	223	
746.4945	191	
746.5391	207	
746.6009	231	
746.6833	499	
746.8238	6630	
746.8855	205	
746.9671	15976	
747.0438	247	
747.1099	18958	
747.2532	14026	
747.3963	10249	
747.4876	182	
747.5395	5997	
747.5969	174	
747.6823	2315	
747.8267	1121	
747.9688	371	
748.0178	110	
748.0557	138	
748.1010	209	
748.5977	128	
748.8536	402	
749.0591	144	
749.1012	602	
749.3557	382	
749.5961	402	
749.9686	110	
750.1132	653	
750.3492	104	
750.4511	481	
750.6009	141	
750.7839	295	
750.8515	138	
750.9681	104	
751.0607	873	
751.3491	457	
751.6001	653	
751.8501	375	
752.0648	230	
752.1024	477	
752.3490	101	
752.3871	115	
752.8489	102	
753.0916	191	
753.1345	307	
753.4462	280	
753.7803	249	
754.1067	189	
754.4398	119	
754.6015	120	
755.1051	235	
755.3507	108	
755.3794	123	
755.5158	118	
755.6017	114	
755.6731	265	
755.7108	159	
755.8187	262	
755.8502	204	
755.9130	108	
755.9587	317	
756.1024	547	
756.2485	140	
756.3871	142	
756.8405	165	
757.0646	348	
757.3476	102	
757.6025	103	
757.6718	103	
757.8139	119	
757.9569	1707	
758.0995	4803	
