m/z	I	
883.8296	19983	
883.9723	15406	
884.1145	11756	
884.2573	10939	
884.4001	9064	
884.5429	6624	
884.6861	4811	
884.8295	3152	
886.3973	2316	
886.5401	2876	
886.6834	3322	
886.8270	3346	
886.9709	2914	
887.1156	2530	
914.2926	2888	
914.4595	3607	
914.6267	3123	
914.7938	2152	
932.5536	2095	
944.1520	2730	
971.9639	4169	
972.1305	8637	
972.2976	10124	
972.4646	9895	
972.6315	7772	
972.7978	5190	
972.9648	3094	
974.9620	2040	
987.9539	2049	
988.1211	4172	
988.2880	5183	
988.4548	4802	
988.6220	3810	
988.7885	2559	
1006.1304	2025	
1011.9668	2432	
1012.1341	4151	
1012.3006	6144	
1012.4672	6849	
1012.6339	5927	
1012.8007	5007	
1012.9675	3030	
1013.1351	2054	
1019.1369	3420	
1019.3035	6465	
1019.4707	8778	
1019.6374	8703	
1019.8044	6300	
1019.9712	4644	
1020.1383	2965	
1024.4671	3971	
1024.6351	8230	
1024.8023	11099	
1024.9695	11433	
1025.1376	13891	
1025.3058	18816	
1025.4732	20914	
1025.6403	17699	
1025.8076	14193	
1025.9744	9350	
1026.1417	5621	
1026.3089	3013	
1027.3051	4831	
1027.4709	19426	
1027.6378	36610	
1027.8030	231931	
1027.9698	482272	
1028.1368	626318	
1028.3037	645002	
1028.4705	512862	
1028.6377	340702	
1028.8046	201436	
1028.9714	109269	
1029.1383	55174	
1029.3051	27180	
1029.4209	4402	
1029.4717	12921	
1029.5887	3263	
1029.6385	6471	
1029.6928	2983	
1029.7455	2728	
1029.8067	3964	
1029.8968	2321	
1029.9724	2823	
1030.1381	2858	
1030.3032	3430	
1030.4682	10361	
1030.6350	20167	
1030.8017	26746	
1030.9687	26470	
1031.1357	23116	
1031.3027	17731	
1031.4691	13317	
1031.6352	11186	
1031.8014	10202	
1031.9679	8805	
1032.1349	6644	
1032.3019	4419	
1032.4688	2860	
1034.2986	2218	
1034.4656	3061	
1034.6330	3379	
1034.8008	3311	
1034.9694	2913	
1035.1384	2410	
1035.3066	2008	
1037.4768	6779	
1037.6443	14141	
1037.8113	18764	
1037.9784	18694	
1038.1451	14963	
1038.3116	10388	
1038.4780	6442	
1038.6434	3536	
1047.4876	2513	
1047.6540	2615	
1047.8215	2285	
1097.3528	2075	
1097.5537	2672	
1097.7539	2331	
1166.5582	2697	
1166.7582	5389	
1166.9587	6567	
1167.1592	6675	
1167.3593	5000	
1167.5595	3085	
1167.7594	2100	
1178.5694	2278	
1178.7697	2114	
1185.9472	2187	
1186.1475	2774	
1186.3477	2734	
1186.5484	2002	
1214.7624	2210	
1214.9627	3127	
1215.1624	3515	
1215.3623	3101	
1215.5626	2645	
1223.3664	3388	
1223.5668	4709	
1223.7667	4336	
1223.9668	3583	
1224.1673	2366	
1226.7719	2265	
1226.9719	2000	
1229.5643	2054	
1229.7640	4412	
1229.9646	5783	
1230.1654	6068	
1230.3674	7267	
1230.5689	10004	
1230.7700	11582	
1230.9708	10523	
1231.1710	7707	
1231.3717	5338	
1231.5723	3067	
1232.9690	2719	
1233.1671	10334	
1233.3672	19073	
1233.5653	119089	
1233.7658	260238	
1233.9661	329902	
1234.1664	342282	
1234.3668	266041	
1234.5671	175998	
1234.7675	107698	
1234.9679	57115	
1235.1689	30644	
1235.3698	15310	
1235.5716	8181	
1235.7717	4270	
1235.9729	2727	
1236.7639	5159	
1236.9636	9814	
1237.1638	13549	
1237.3641	13414	
1237.5646	11435	
1237.7654	8424	
1237.9655	6985	
1238.1652	6972	
1238.3649	6731	
1238.5651	6126	
1238.7653	4860	
1238.9658	3278	
1239.1664	2162	
1241.3691	3039	
1241.5702	4312	
1241.7700	4369	
1241.9731	5042	
1242.1764	6222	
1242.3783	6651	
1242.5792	6206	
1242.7799	4656	
1242.9806	3262	
1243.1806	2172	
1244.7772	5873	
1244.9772	11281	
1245.1759	64155	
1245.3762	143186	
1245.5766	193531	
1245.7770	191026	
1245.9773	149284	
1246.1776	102414	
1246.3778	62828	
1246.5781	34989	
1246.7788	17629	
1246.9794	8879	
1247.1806	4354	
1247.3810	2308	
1248.3740	3392	
1248.5738	6248	
1248.7743	8380	
1248.9746	8735	
1249.1745	7502	
1249.3747	5621	
1249.5740	4699	
1249.7733	4215	
1249.9731	3976	
1250.1734	3498	
1250.3743	2582	
1253.1793	2268	
1253.3803	2300	
1253.5832	2678	
1253.7864	3205	
1253.9884	3552	
1254.1892	3284	
