Mass	Intensity
681.51	13943
681.837	13668
682.033	17268
682.364	13920
682.476	13525
682.572	13515
682.744	13137
683.036	19092
683.415	13469
683.56	13385
683.734	12838
683.812	13127
684.037	16954
684.386	13232
684.44	13317
684.531	13066
684.661	12884
684.792	12912
685.035	19268
685.392	13462
685.533	13071
685.579	13060
685.731	12853
685.837	13000
686.05	16076
686.31	13247
686.369	13162
686.477	12863
686.545	12582
686.56	12687
686.609	12684
686.748	12639
687.048	21071
687.373	14560
687.473	13924
687.643	13068
687.715	12967
687.909	13545
688.04	16988
688.357	14020
688.482	13452
688.602	13206
688.659	13092
688.717	13361
688.788	13314
688.827	13278
689.028	20191
689.309	14041
689.39	14076
689.506	13819
689.666	13169
689.771	13211
690.03	16786
690.281	13773
690.425	13712
690.57	13381
690.652	12912
690.725	12937
690.789	12836
691.033	18179
691.292	13458
691.376	13578
691.385	13605
691.619	13101
691.669	13165
691.766	13105
691.829	13223
692.036	15772
692.258	13623
692.4	13100
692.468	13082
692.608	12980
692.788	12611
692.809	12694
693.04	17899
693.35	13290
693.408	13377
693.615	13091
693.778	12878
693.888	12765
694.053	15658
694.355	12940
694.444	12711
694.619	12775
694.734	13097
695.046	22770
695.538	12844
695.558	12869
695.62	12928
695.708	12947
695.812	12835
696.045	17411
696.42	12998
696.578	12899
696.661	12952
696.748	13053
697.041	18605
697.375	13566
697.461	13818
697.656	12909
697.73	13060
697.853	12788
698.041	15861
698.25	13514
698.33	13036
698.387	13161
698.502	12986
698.548	12906
698.591	13028
698.659	12779
698.715	12730
698.762	12822
698.781	12738
699.042	16813
699.137	17224
699.331	13645
699.346	13474
699.507	12958
699.594	12963
699.68	12844
699.78	13076
699.875	12964
700.053	15444
700.13	15238
700.279	13326
700.305	13353
700.401	13134
700.528	12804
700.654	12737
700.676	12660
700.776	12571
701.038	18213
701.422	13600
701.565	12843
701.664	12568
701.756	12557
702.045	15836
702.382	13136
702.396	13190
702.422	13090
702.511	12908
702.589	12631
702.669	12634
702.731	12640
702.765	12597
702.782	12643
703.051	18038
703.335	13474
703.41	13300
703.495	13086
703.517	13108
703.639	12845
703.702	12958
703.785	12785
704.039	15062
704.338	13110
704.415	13193
704.555	12741
704.693	12519
704.755	12866
704.825	12944
705.063	28802
705.325	14582
705.391	14401
705.487	14078
705.558	13903
705.726	13850
705.827	13460
706.058	19816
706.351	14054
706.509	13450
706.614	13218
706.678	13228
706.764	13325
706.85	13251
707.052	20704
707.339	14115
707.347	14190
707.652	13499
707.722	13494
708.04	16855
708.29	13877
708.443	13705
708.528	13560
708.628	13412
708.849	13635
709.039	17393
709.278	13875
709.378	13866
709.437	13685
709.541	13259
709.632	13322
709.691	12988
709.699	13050
709.762	12937
709.783	12927
709.876	13311
710.04	15352
710.278	13458
710.335	13449
710.415	13499
710.606	13096
710.655	13432
710.824	13290
711.036	17283
711.29	13932
711.472	13729
711.626	13240
711.808	13261
712.037	15655
712.286	13491
712.37	13521
712.439	13458
712.583	13772
712.698	13032
712.76	13106
712.833	13196
713.042	18127
713.459	13641
713.579	13689
713.722	13066
714.052	15853
714.25	13827
714.35	13485
714.406	13449
714.42	13497
714.507	13144
714.588	13070
714.665	12859
714.842	12782
715.047	17401
715.321	13622
715.378	13651
715.482	13356
715.635	13035
715.796	13396
716.048	15386
716.266	13385
716.382	13476
716.506	13035
716.606	12844
716.636	12882
716.736	12786
716.809	12884
717.043	17052
717.326	13781
717.508	13225
717.571	13172
717.627	13378
717.826	13106
717.853	13083
717.872	13161
718.048	15531
718.365	13488
718.444	13569
718.532	13451
718.654	13497
718.776	13189
718.878	13385
719.034	17538
719.384	13530
719.471	13392
719.6	13474
719.613	13584
719.691	13536
719.793	13104
720.045	15335
720.306	13448
720.33	13386
720.342	13577
720.497	13162
720.629	13133
720.823	13083
721.052	18327
721.431	13340
721.487	13072
721.54	12962
721.662	12773
721.824	12899
721.916	12939
722.071	16078
722.254	13513
722.356	13281
722.475	13067
722.585	13099
722.635	13056
722.74	13290
723.135	90330
723.508	15957
723.666	14979
723.826	14421
724.137	38875
724.57	14463
724.632	14550
724.731	14409
724.82	14272
725.143	27287
725.592	14568
725.727	14288
725.784	14023
725.867	14219
726.146	17891
726.429	14306
726.572	14141
726.739	13722
726.823	13530
727.051	17495
727.323	14273
727.399	13924
727.509	13728
727.57	13792
727.696	13956
727.84	13804
728.044	15954
728.134	15330
728.404	13911
728.531	13908
728.6	13926
728.694	13688
729.026	17829
729.422	14242
729.588	13935
729.707	13877
729.82	14009
730.053	16152
730.248	14408
730.336	14590
730.473	14434
730.583	14315
730.694	14249
730.877	13833
731.046	17849
731.293	14460
731.54	14246
731.749	13616
731.858	13504
732.025	16446
732.277	13913
732.326	13848
732.406	13706
732.559	13427
732.604	13548
732.732	13419
732.868	13549
733.029	22698
733.392	14049
733.496	13669
733.746	13504
733.803	13616
733.881	13399
734.031	17783
734.314	13798
734.362	13662
734.463	13647
734.569	13543
734.578	13569
734.64	13480
734.788	13710
735.042	18814
735.258	13908
735.37	13877
735.432	13446
735.444	13579
735.514	13495
735.608	13395
735.665	13349
735.717	12912
735.736	13218
736.035	15457
736.243	13918
736.4	13707
736.581	13211
736.699	12880
736.747	12986
737.044	17849
737.243	13897
737.362	13873
737.481	13653
737.589	13346
737.649	13468
737.808	13103
738.046	15639
738.283	13657
738.53	13365
738.673	12988
738.765	13007
738.883	13049
739.051	20571
739.128	19999
739.461	13351
739.506	13370
739.607	13285
739.719	13162
740.132	17631
740.37	13787
740.489	13479
740.696	13319
741.146	23481
741.425	13961
741.573	13698
741.595	13536
741.686	13768
741.785	13175
741.888	13179
742.141	18544
742.452	13908
742.632	13447
742.784	13339
743.043	16472
743.144	17058
743.329	14797
743.418	14376
743.521	13850
743.74	13383
743.871	13088
744.087	15506
744.266	13890
744.432	13465
744.508	13386
744.609	13180
744.735	12750
744.828	13053
745.103	19485
745.485	18365
745.819	13717
746.106	16190
746.297	14291
746.319	14231
746.482	15250
746.788	13344
747.043	16890
747.256	14103
747.354	14114
747.469	14193
747.574	13835
747.68	13641
747.833	13096
748.046	15706
748.405	13279
748.527	13500
748.645	13319
748.766	13173
748.845	13042
749.053	16852
749.338	13082
749.423	13374
749.5	13313
749.574	13136
749.661	13135
750.033	15181
750.304	13315
750.441	13056
750.533	12945
750.596	12781
750.772	12869
750.83	12790
751.051	16910
751.328	13414
751.339	13546
751.453	13260
751.562	13005
751.633	13138
751.797	13030
752.077	15002
752.264	13532
752.401	13156
752.635	13228
752.772	12532
752.88	12794
753.039	16075
753.288	13436
753.464	13071
753.557	12753
753.62	12855
753.665	13071
753.756	13121
754.056	14685
754.321	13077
754.418	12998
754.631	12777
754.762	12774
754.837	12711
755.04	16510
755.416	13074
755.505	13067
755.585	12957
755.675	12765
755.749	13045
756.041	14446
756.13	14076
756.371	13194
756.517	12749
756.585	12911
756.721	12777
756.871	12751
757.051	15966
757.325	13211
757.358	13201
757.469	12924
757.557	13022
757.662	12669
757.73	12617
758.177	30695
758.563	13256
758.664	13043
758.803	12653
759.169	32348
759.527	13444
759.625	13414
759.812	12574
760.167	24247
760.771	12706
761.052	16574
761.151	17876
761.525	13399
761.671	12553
761.697	12682
761.831	12622
761.861	12630
762.091	14826
762.152	14708
762.434	12931
762.686	12810
762.836	12916
763.053	15475
763.375	13199
763.459	13508
763.59	12996
763.698	13108
763.798	13105
763.872	12991
764.095	14938
764.279	13311
764.431	12971
764.524	12996
764.623	12695
764.714	12901
764.756	12729
764.845	12754
764.867	12719
765.056	16229
765.347	13206
765.407	13008
765.518	13013
765.586	12642
765.609	12787
765.737	12883
765.862	12388
766.06	14704
766.348	13176
766.422	12951
766.598	13084
766.688	12801
766.781	12899
767.065	15755
767.264	13482
767.335	13242
767.429	13187
767.597	12688
767.761	12639
767.837	12700
767.924	12670
768.06	15186
768.401	12975
768.516	12646
768.577	12644
768.658	12757
768.726	12835
768.836	12565
769.046	15820
769.352	13757
769.516	13522
769.644	13235
769.78	12907
769.843	12966
770.044	15034
770.272	13476
770.354	13412
770.433	13063
770.461	13147
770.591	12963
770.68	12843
770.736	12838
770.823	12688
771.056	16043
771.281	13615
771.446	13161
771.483	13120
771.562	13050
771.622	12888
771.854	12722
772.197	66796
772.641	13536
772.738	13170
772.82	12913
773.053	16723
773.194	39501
773.58	13429
773.822	12780
774.194	23872
774.592	13038
775.05	16186
775.189	16969
775.521	13011
775.608	12851
775.715	12469
775.824	12605
776.075	14777
776.187	14147
776.384	12972
776.596	12677
776.705	12540
776.805	12555
777.09	16126
777.531	12662
777.653	12294
777.695	12367
777.756	12436
777.871	12404
778.095	14700
778.355	12796
778.421	12741
778.525	12500
778.624	12725
778.791	12437
779.121	20191
779.358	13439
779.501	12850
779.521	12849
779.606	12723
779.765	12385
779.895	12625
780.132	17135
780.392	13102
780.54	12787
780.598	12860
780.645	12775
780.7	12731
780.779	12707
781.124	17228
781.315	13531
781.47	13065
781.517	13154
781.707	12716
781.806	12599
782.03	14196
782.125	14720
782.465	12928
782.546	12387
782.619	12765
782.695	12386
782.817	12578
783.046	15087
783.39	13295
783.554	12819
783.563	12675
783.691	12593
783.814	12556
784.067	14068
784.366	12619
784.421	12706
784.49	12714
784.572	12515
784.635	12513
784.727	12131
784.751	12053
784.83	12399
785.082	16770
785.256	13836
785.407	13319
785.567	12787
785.662	12809
785.739	12621
786.081	15149
786.303	12915
786.326	12731
786.41	13213
786.481	12974
786.532	13106
786.55	12854
786.727	12706
787.058	16584
787.395	13527
787.45	13365
787.607	12760
787.664	12803
787.773	12836
788.069	14973
788.254	13765
788.426	13029
788.596	12851
788.718	12596
788.733	12746
788.762	12729
788.835	12739
789.06	16457
789.443	12699
789.646	12952
789.789	12708
789.845	12680
790.062	14622
790.194	14001
790.387	12985
790.505	12971
790.613	12568
790.658	12640
790.828	12856
791.056	15782
791.477	12804
791.566	12845
791.659	12639
791.774	12730
792.078	14572
792.39	12774
792.403	12773
792.459	12691
792.628	12475
792.709	12497
792.753	12489
